,año_semestre,matriculados,registros,presentes,puntaje_global,puntaje_lectura,puntaje_matematicas,puntaje_sociales,puntaje_naturales,puntaje_ingles
año_semestre,1.0,-0.0850586763982184,-0.028854010874739447,-0.02807761675729841,0.0744654706957098,0.24520892583927603,0.043254100238477505,-0.003943346268292162,0.03774009558776525,0.05077761470397255
matriculados,-0.0850586763982184,1.0,0.9319985499735494,0.9319289168452434,0.11074387972099776,0.10408145359076085,0.121115225453962,0.1155093678498518,0.10884951741699368,0.04591135842957523
registros,-0.028854010874739447,0.9319985499735494,1.0,0.9998310751272613,0.10754473569874849,0.11121004031716018,0.11714366836148728,0.10584101690179008,0.10510021939746848,0.040288280799049274
presentes,-0.02807761675729841,0.9319289168452434,0.9998310751272613,1.0,0.1114994786657348,0.11528644787807407,0.12114600032089938,0.10964807432379127,0.10865630924009419,0.04360337334670059
puntaje_global,0.0744654706957098,0.11074387972099776,0.10754473569874849,0.1114994786657348,1.0,0.9481066061208115,0.9724676367413398,0.969645476090115,0.9721649309928422,0.915482167774059
puntaje_lectura,0.24520892583927603,0.10408145359076085,0.11121004031716018,0.11528644787807407,0.9481066061208115,1.0,0.8940607051647489,0.9039986018170818,0.8947777541441979,0.8399522957501538
puntaje_matematicas,0.043254100238477505,0.121115225453962,0.11714366836148728,0.12114600032089938,0.9724676367413398,0.8940607051647489,1.0,0.9218593612395497,0.9339350424160601,0.8858496298165371
puntaje_sociales,-0.003943346268292162,0.1155093678498518,0.10584101690179008,0.10964807432379127,0.969645476090115,0.9039986018170818,0.9218593612395497,1.0,0.9355183275723888,0.8621708230910986
puntaje_naturales,0.03774009558776525,0.10884951741699368,0.10510021939746848,0.10865630924009419,0.9721649309928422,0.8947777541441979,0.9339350424160601,0.9355183275723888,1.0,0.8689206249073512
puntaje_ingles,0.05077761470397255,0.04591135842957523,0.040288280799049274,0.04360337334670059,0.915482167774059,0.8399522957501538,0.8858496298165371,0.8621708230910986,0.8689206249073512,1.0
