año_semestre,establecimiento,matriculados,registros,presentes,puntaje_global,puntaje_lectura,puntaje_matematicas,puntaje_sociales,puntaje_naturales,puntaje_ingles,comuna,prestacion_servicio
20142,col gente unida jovenes por la paz-santo domingo,66.0,66,64,240.0,50.0,49.0,48.0,46.0,46.0,popular,contratacion
20142,col fe y alegria santa maria,31.0,31,29,238.0,49.0,48.0,47.0,47.0,47.0,popular,contratacion
20142,institución educativa pequeña maria,73.0,73,73,232.0,48.0,46.0,47.0,45.0,46.0,popular,contratacion
20142,col sagrada familia aldea pablo vi,38.0,38,38,246.0,53.0,47.0,50.0,47.0,49.0,popular,contratacion
20142,inst educ san pablo,81.0,81,79,247.0,51.0,49.0,50.0,48.0,47.0,popular,oficial
20142,inst educ maria de los angeles cano marquez,128.0,126,125,252.0,51.0,51.0,51.0,49.0,49.0,popular,oficial
20142,inst educ la candelaria,82.0,81,79,249.0,53.0,49.0,51.0,47.0,48.0,popular,oficial
20142,inst educ la avanzada,27.0,26,25,239.0,49.0,47.0,49.0,47.0,46.0,popular,oficial
20142,inst educ fe y alegria popular nro. 1,83.0,78,73,227.0,47.0,46.0,44.0,44.0,46.0,popular,oficial
20142,col emaus,105.0,104,103,249.0,52.0,49.0,50.0,48.0,50.0,popular,contratacion
20142,inst educ nuevo horizonte,77.0,68,68,239.0,49.0,47.0,48.0,47.0,49.0,popular,oficial
20142,inst educ federico carrasquilla,46.0,46,46,251.0,52.0,50.0,51.0,48.0,49.0,popular,oficial
20142,inst educ guadalupe,24.0,59,57,235.0,48.0,45.0,48.0,47.0,48.0,popular,oficial
20142,esc barrio san nicolas-en administracion(ac),21.0,21,21,275.0,57.0,55.0,55.0,54.0,53.0,popular,contratacion
20142,i.e. antonio derka - santo domingo,174.0,172,166,248.0,51.0,49.0,50.0,49.0,48.0,popular,oficial
20142,inst educ fe y alegria granizal,37.0,36,36,257.0,53.0,50.0,51.0,52.0,49.0,popular,oficial
20142,inst educ fe y alegria santo domingo savio,56.0,55,55,231.0,48.0,47.0,47.0,43.0,46.0,popular,oficial
20142,inst educ ciro mendia,80.0,73,73,247.0,52.0,48.0,50.0,48.0,48.0,santa cruz,oficial
20142,i.e. manuel uribe ángel,32.0,25,24,236.0,49.0,48.0,46.0,46.0,47.0,santa cruz,oficial
20142,inst educ barrio santa cruz,35.0,23,23,241.0,49.0,47.0,50.0,47.0,47.0,santa cruz,oficial
20142,inst educ asia ignaciana,80.0,74,73,258.0,53.0,51.0,51.0,52.0,50.0,santa cruz,oficial
20142,inst educ republica de honduras,23.0,24,23,264.0,54.0,51.0,57.0,51.0,48.0,santa cruz,oficial
20142,inst educ villa del socorro,140.0,139,136,235.0,48.0,47.0,47.0,46.0,47.0,santa cruz,oficial
20142,inst educ pablo neruda,54.0,52,50,239.0,49.0,47.0,48.0,47.0,48.0,santa cruz,oficial
20142,inst educ santa teresa,76.0,76,76,273.0,56.0,53.0,57.0,54.0,51.0,santa cruz,oficial
20142,inst educ jose maria velaz,26.0,24,24,251.0,52.0,49.0,51.0,50.0,46.0,santa cruz,oficial
20142,institucion educativa la asuncion,28.0,29,29,247.0,52.0,49.0,50.0,47.0,49.0,santa cruz,oficial
20142,inst educ finca la mesa,,69,66,241.0,49.0,48.0,48.0,48.0,47.0,santa cruz,oficial
20142,col nino jesus,19.0,18,18,243.0,52.0,48.0,46.0,49.0,47.0,manrique,contratacion
20142,inst educ pedro luis villa,47.0,49,49,243.0,49.0,49.0,48.0,48.0,49.0,manrique,oficial
20142,inst educ rodrigo lara bonilla,51.0,51,51,237.0,49.0,48.0,46.0,47.0,46.0,manrique,oficial
20142,i.e. montecarlo guillermo gaviria correa,44.0,44,43,245.0,52.0,47.0,49.0,49.0,47.0,manrique,oficial
20142,inst educ ramon munera lopera,49.0,51,48,253.0,52.0,49.0,51.0,51.0,49.0,manrique,oficial
20142,inst educ gabriel restrepo moreno,61.0,59,59,241.0,49.0,48.0,50.0,46.0,47.0,manrique,oficial
20142,col pablo vi,127.0,134,133,250.0,51.0,50.0,50.0,50.0,48.0,manrique,contratacion
20142,inst educ las nieves,29.0,29,29,233.0,47.0,45.0,47.0,47.0,47.0,manrique,oficial
20142,inst educ fe y alegria la cima,,106,104,248.0,51.0,49.0,51.0,48.0,48.0,manrique,oficial
20142,inst vicarial jesus maestro,28.0,28,28,247.0,51.0,49.0,50.0,48.0,49.0,manrique,contratacion
20142,institucion educativa reino de belgica,41.0,39,39,238.0,52.0,46.0,49.0,44.0,45.0,manrique,oficial
20142,col maria reina del carmelo,57.0,57,57,272.0,56.0,53.0,54.0,55.0,53.0,manrique,contratacion
20142,inst educ manuela beltran,56.0,48,48,240.0,51.0,48.0,47.0,46.0,48.0,manrique,oficial
20142,inst educ san lorenzo de aburra,40.0,69,69,251.0,52.0,50.0,51.0,48.0,49.0,manrique,oficial
20142,inst educ jose roberto vasquez,169.0,163,161,255.0,52.0,51.0,51.0,50.0,50.0,manrique,oficial
20142,inst educ enrique olaya herrera,67.0,65,63,233.0,48.0,46.0,48.0,44.0,47.0,manrique,oficial
20142,inst educ san juan bautista de la salle,70.0,65,63,248.0,52.0,48.0,49.0,50.0,48.0,manrique,oficial
20142,inst educ alvaro marin velasco,26.0,19,18,262.0,52.0,51.0,54.0,53.0,52.0,manrique,oficial
20142,inst educ jose antonio galan,,46,45,233.0,48.0,47.0,45.0,46.0,48.0,manrique,oficial
20142,inst educ hernan toro agudelo,51.0,50,49,243.0,50.0,48.0,50.0,47.0,47.0,manrique,oficial
20142,col gente unida jovenes por la paz - luz de oriente,57.0,56,56,232.0,47.0,45.0,50.0,44.0,45.0,manrique,contratacion
20142,inst educ jose maria bravo marquez,122.0,122,120,257.0,53.0,51.0,51.0,51.0,51.0,aranjuez,oficial
20142,col adventista simon bolivar,23.0,22,22,250.0,51.0,51.0,49.0,49.0,51.0,aranjuez,privado
20142,inst educ camilo torres restrepo,26.0,23,23,245.0,47.0,51.0,50.0,48.0,50.0,aranjuez,oficial
20142,inst educ francisco miranda,73.0,73,73,257.0,52.0,53.0,51.0,51.0,48.0,aranjuez,oficial
20142,inst educ lorenza villegas de santos,62.0,61,60,247.0,53.0,48.0,49.0,48.0,47.0,aranjuez,oficial
20142,i.e. javiera londoño-sevilla,66.0,60,60,260.0,53.0,50.0,52.0,53.0,51.0,aranjuez,oficial
20142,i.e. el bosque,38.0,36,36,257.0,53.0,53.0,51.0,50.0,47.0,aranjuez,oficial
20142,col nuestra senora de lourdes,48.0,48,48,269.0,56.0,52.0,54.0,54.0,52.0,aranjuez,contratacion
20142,col emilia riquelme,13.0,13,13,266.0,56.0,50.0,53.0,54.0,53.0,aranjuez,privado
20142,inst educ fe y alegria luis amigo,,41,40,242.0,50.0,48.0,49.0,46.0,49.0,aranjuez,oficial
20142,inst educ gilberto alzate avenda?o,142.0,223,219,257.0,53.0,51.0,51.0,51.0,50.0,aranjuez,oficial
20142,inst educ juan de dios cock,69.0,65,65,240.0,50.0,48.0,47.0,47.0,49.0,aranjuez,oficial
20142,inst educ alvernia,55.0,55,55,253.0,54.0,50.0,49.0,49.0,51.0,aranjuez,oficial
20142,inst educ monse?or francisco cristobal toro,240.0,119,117,240.0,50.0,48.0,48.0,46.0,47.0,aranjuez,oficial
20142,inst educ alfonso mora naranjo,58.0,50,49,255.0,54.0,50.0,52.0,49.0,49.0,aranjuez,oficial
20142,inst educ san agustin,42.0,43,43,254.0,52.0,52.0,49.0,51.0,49.0,aranjuez,oficial
20142,col agustiniano de san nicolas,64.0,64,64,274.0,57.0,54.0,55.0,53.0,56.0,aranjuez,privado
20142,inst educ campo valdes,62.0,60,57,250.0,50.0,51.0,50.0,50.0,48.0,aranjuez,oficial
20142,col de maria,18.0,18,18,281.0,57.0,56.0,57.0,55.0,55.0,aranjuez,privado
20142,inst educ francisco luis hernandez betancur,53.0,19,19,238.0,49.0,48.0,48.0,45.0,48.0,aranjuez,oficial
20142,inst educ san juan bosco,78.0,78,77,267.0,56.0,53.0,53.0,52.0,52.0,aranjuez,oficial
20142,inst educ jose eusebio caro,30.0,33,33,249.0,49.0,50.0,51.0,50.0,48.0,aranjuez,oficial
20142,inst educ manuel jose gomez s,65.0,63,63,256.0,54.0,49.0,52.0,50.0,51.0,castilla,oficial
20142,cent educ autonomo,20.0,20,20,271.0,58.0,52.0,57.0,50.0,53.0,castilla,privado
20142,inst educ maestro pedro nel gomez,59.0,55,55,254.0,52.0,52.0,50.0,49.0,51.0,castilla,oficial
20142,inst educ alfonso lopez,25.0,24,24,243.0,49.0,49.0,50.0,48.0,45.0,castilla,oficial
20142,inst educ felix de bedout moreno,35.0,36,36,255.0,54.0,51.0,51.0,48.0,52.0,castilla,oficial
20142,inst educ jose asuncion silva,63.0,55,55,253.0,52.0,50.0,51.0,50.0,49.0,castilla,oficial
20142,inst educ diego echavarria misas,179.0,179,176,261.0,54.0,52.0,52.0,51.0,52.0,castilla,oficial
20142,i.e. colegio loyola para la ciencia y la innovación,56.0,56,56,301.0,61.0,60.0,58.0,61.0,62.0,castilla,oficial
20142,i.e. jesus maria - el rosal,58.0,65,65,277.0,57.0,53.0,54.0,59.0,50.0,castilla,oficial
20142,inst educ pedro claver aguirre,42.0,41,40,249.0,52.0,49.0,50.0,49.0,47.0,castilla,oficial
20142,inst educ maria montessori,51.0,52,51,250.0,51.0,50.0,50.0,49.0,49.0,castilla,oficial
20142,inst educ republica de uruguay,99.0,95,94,243.0,51.0,48.0,47.0,48.0,49.0,castilla,oficial
20142,inst educ pbro antonio jose bernal londoño sj,198.0,199,196,243.0,50.0,48.0,48.0,48.0,49.0,castilla,oficial
20142,col parroquial san judas tadeo,20.0,20,19,257.0,53.0,50.0,51.0,52.0,50.0,castilla,privado
20142,inst educ dinamarca,105.0,103,102,254.0,53.0,50.0,51.0,50.0,49.0,castilla,oficial
20142,inst educ sor juana ines de la cruz,82.0,81,81,265.0,55.0,53.0,53.0,51.0,54.0,castilla,oficial
20142,col parroquial ntra se?ora del buen consejo,46.0,46,45,300.0,61.0,60.0,59.0,60.0,60.0,castilla,privado
20142,inst educ julio cesar garcia,102.0,87,87,253.0,53.0,50.0,51.0,49.0,49.0,castilla,oficial
20142,inst educ tricentenario,90.0,89,86,248.0,51.0,48.0,49.0,50.0,51.0,castilla,oficial
